iter	Passed	Remaining
1147	46198	14165
1148	46235	14124
1149	46273	14083
1150	46316	14043
1151	46354	14003
1152	46397	13963
1153	46430	13921
1154	46471	13881
1155	46520	13843
1156	46561	13803
1157	46598	13762
1158	46631	13719
1159	46671	13679
1160	46708	13638
1161	46747	13597
1162	46786	13557
1163	46819	13515
1164	46857	13473
1165	46895	13433
1166	46931	13391
1167	46974	13352
1168	47014	13311
1169	47053	13271
1170	47089	13230
1171	47132	13190
1172	47171	13150
1173	47211	13109
1174	47245	13067
1175	47281	13026
1176	47329	12988
1177	47372	12948
1178	47410	12908
1179	47460	12870
1180	47513	12833
1181	47560	12795
1182	47600	12755
1183	47641	12715
1184	47680	12674
1185	47718	12633
1186	47753	12592
1187	47786	12549
1188	47826	12509
1189	47868	12469
1190	47908	12429
1191	47946	12388
1192	47984	12348
1193	48024	12307
1194	48067	12268
1195	48110	12228
1196	48149	12188
1197	48191	12148
1198	48233	12108
1199	48271	12067
1200	48310	12027
1201	48350	11986
1202	48396	11948
1203	48433	11907
1204	48471	11866
1205	48513	11826
1206	48552	11786
1207	48594	11746
1208	48633	11705
1209	48675	11666
1210	48716	11625
1211	48764	11587
1212	48800	11546
1213	48837	11505
1214	48873	11464
1215	48912	11423
1216	48953	11383
1217	48991	11342
1218	49031	11302
1219	49072	11262
1220	49106	11220
1221	49148	11181
1222	49187	11140
1223	49223	11099
1224	49258	11057
1225	49296	11017
1226	49335	10976
1227	49375	10936
1228	49414	10896
1229	49453	10855
1230	49496	10816
1231	49539	10776
1232	49575	10735
1233	49616	10695
1234	49653	10654
1235	49692	10613
1236	49730	10573
1237	49764	10531
1238	49803	10491
1239	49841	10450
1240	49881	10410
1241	49921	10370
1242	49957	10329
1243	49991	10287
1244	50033	10247
1245	50074	10207
1246	50119	10168
1247	50157	10127
1248	50197	10087
1249	50235	10047
1250	50277	10007
1251	50316	9966
1252	50352	9925
1253	50384	9884
1254	50425	9843
1255	50466	9803
1256	50507	9763
1257	50546	9723
1258	50579	9682
1259	50616	9641
1260	50656	9600
1261	50702	9562
1262	50739	9521
1263	50780	9481
1264	50815	9440
1265	50850	9398
1266	50888	9358
1267	50928	9318
1268	50968	9277
1269	51002	9236
1270	51042	9196
1271	51079	9155
1272	51117	9115
1273	51155	9074
1274	51193	9034
1275	51235	8994
1276	51273	8953
1277	51319	8914
1278	51361	8874
1279	51403	8834
1280	51449	8795
1281	51486	8755
1282	51521	8714
1283	51558	8673
1284	51599	8633
1285	51638	8593
1286	51680	8553
1287	51717	8512
1288	51757	8472
1289	51792	8431
1290	51833	8391
1291	51873	8351
1292	51913	8310
1293	51956	8271
1294	51989	8229
1295	52023	8188
1296	52061	8148
1297	52108	8109
1298	52147	8069
1299	52191	8029
1300	52224	7988
1301	52269	7948
1302	52313	7909
1303	52354	7869
1304	52397	7829
1305	52435	7789
1306	52475	7748
1307	52515	7708
1308	52552	7668
1309	52594	7628
1310	52637	7588
1311	52677	7548
1312	52713	7507
1313	52756	7467
1314	52798	7427
1315	52837	7387
1316	52879	7347
1317	52921	7307
1318	52960	7267
1319	53001	7227
1320	53041	7187
1321	53079	7146
1322	53117	7106
1323	53156	7066
1324	53202	7026
1325	53241	6986
1326	53281	6946
1327	53325	6906
1328	53366	6866
1329	53407	6826
1330	53448	6786
1331	53488	6746
1332	53529	6706
1333	53570	6666
1334	53610	6626
1335	53648	6585
1336	53689	6545
1337	53729	6505
1338	53765	6464
1339	53797	6423
1340	53833	6382
1341	53872	6342
1342	53913	6302
1343	53953	6262
1344	53995	6222
1345	54028	6181
1346	54062	6140
1347	54103	6100
1348	54136	6059
1349	54184	6020
1350	54224	5980
1351	54261	5939
1352	54303	5899
1353	54344	5859
1354	54384	5819
1355	54418	5778
1356	54456	5738
1357	54496	5698
1358	54536	5658
1359	54568	5617
1360	54606	5576
1361	54646	5536
1362	54684	5496
1363	54724	5456
1364	54760	5415
1365	54806	5376
1366	54850	5336
1367	54894	5296
1368	54927	5256
1369	54965	5215
1370	55002	5175
1371	55047	5135
1372	55081	5094
1373	55121	5054
1374	55161	5014
1375	55205	4974
1376	55247	4934
1377	55290	4895
1378	55330	4854
1379	55373	4815
1380	55415	4775
1381	55454	4734
1382	55492	4694
1383	55524	4653
1384	55561	4613
1385	55600	4573
1386	55639	4533
1387	55679	4492
1388	55723	4453
1389	55765	4413
1390	55810	4373
1391	55847	4332
1392	55885	4292
1393	55927	4252
1394	55968	4212
1395	56012	4172
1396	56055	4132
1397	56095	4092
1398	56131	4052
1399	56170	4012
1400	56207	3971
1401	56244	3931
1402	56279	3890
1403	56315	3850
1404	56357	3810
1405	56395	3770
1406	56437	3730
1407	56473	3690
1408	56515	3650
1409	56553	3609
1410	56591	3569
1411	56631	3529
1412	56673	3489
1413	56712	3449
1414	56744	3408
1415	56782	3368
1416	56818	3328
1417	56851	3287
1418	56887	3247
1419	56924	3207
1420	56966	3167
1421	57008	3127
1422	57045	3086
1423	57084	3046
1424	57126	3006
1425	57167	2966
1426	57205	2926
1427	57246	2886
1428	57279	2845
1429	57323	2806
1430	57364	2765
1431	57404	2725
1432	57439	2685
1433	57481	2645
1434	57527	2605
1435	57565	2565
1436	57606	2525
1437	57647	2485
1438	57685	2445
1439	57724	2405
1440	57763	2365
1441	57804	2324
1442	57840	2284
1443	57881	2244
1444	57918	2204
1445	57959	2164
1446	57999	2124
1447	58036	2084
1448	58077	2044
1449	58117	2004
1450	58154	1963
1451	58191	1923
1452	58228	1883
1453	58265	1843
1454	58300	1803
1455	58338	1762
1456	58377	1722
1457	58416	1682
1458	58457	1642
1459	58501	1602
1460	58541	1562
1461	58585	1522
1462	58619	1482
1463	58663	1442
1464	58701	1402
1465	58740	1362
1466	58784	1322
1467	58821	1282
1468	58858	1242
1469	58898	1202
1470	58937	1161
1471	58976	1121
1472	59011	1081
1473	59048	1041
1474	59089	1001
1475	59135	961
1476	59172	921
1477	59208	881
1478	59251	841
1479	59288	801
1480	59326	761
1481	59374	721
1482	59417	681
1483	59457	641
1484	59504	601
1485	59548	561
1486	59589	520
1487	59631	480
1488	59671	440
1489	59708	400
1490	59741	360
1491	59787	320
1492	59825	280
1493	59867	240
1494	59906	200
1495	59941	160
1496	59984	120
1497	60022	80
1498	60060	40
1499	60101	0
